(292, 600)
  X   Y   Z
0.0  31  17
0.0  41  36
0.0  77  37
0.0 130  50
0.0 133  53
0.0 136  97
0.0 153 133
0.0 173 155
0.0 182 152
0.0 186 106
0.0 205  62
0.0 210  59
0.0 232  68
0.0 244  68
0.0 260  62
0.0 264  57
0.0 260  37
0.0 191  19
0.0 180  12
0.0 177   0
0.0 190  19
0.0 249  33
0.0 259  38
0.0 263  57
0.0 246  67
0.0 230  67
0.0 206  58
0.0 186 103
0.0 182 149
0.0 178 154
0.0 153 131
0.0 137  97
0.0 132  50
0.0  74  36
0.0  42  36
0.0  34  31
0.0  32  25
0.0  34  16
0.0  53   8
0.0 140  10
0.0 143   0
0.0 140   0
0.0  54   7
